100000000A,國民大會
200000000A,總統府
201000000A,中央研究院
202000000A,國史館
202010000A,國史館臺灣文獻館
301000000A,內政部
301000100G,內政部國土測繪中心
301000200G,內政部土地重劃工程處
301010000C,內政部警政署
301010200C,內政部警政署刑事警察局
301010300C,內政部警政署航空警察局
301011100T,臺灣警察專科學校
301011200C,內政部警政署保安警察第一總隊
301011300C,內政部警政署保安警察第二總隊
301011400C,內政部警政署保安警察第三總隊
301011500C,內政部警政署保安警察第四總隊
301011600C,內政部警政署保安警察第五總隊
301011700C,內政部警政署保安警察第六總隊
301012000C,內政部警政署國道公路警察局
301012300C,內政部警政署國家公園警察大隊
301012400C,內政部警政署臺灣保安警察總隊
301013100C,內政部警政署鐵路警察局
301013200C,內政部警政署警察電訊所
301013300C,內政部警政署警察機械修理廠
301013500C,內政部警政署基隆港務警察局
301013600C,內政部警政署臺中港務警察局
301013700C,內政部警政署高雄港務警察局
301013800C,內政部警政署花蓮港務警察局
301013900C,內政部警政署民防防情指揮管制所
301014000C,內政部警政署警察廣播電臺
301020000G,內政部營建署
301020700G,海洋國家公園管理處
301020800G,墾丁國家公園管理處
301020900G,玉山國家公園管理處
301021000G,陽明山國家公園管理處
301021100G,太魯閣國家公園管理處
301021200G,雪霸國家公園管理處
301021300G,金門國家公園管理處
301021400G,台江國家公園管理處
301023400G,內政部營建署城鄉發展分署
301060000C,內政部消防署
301060100C,內政部消防署基隆港務消防隊
301060200C,內政部消防署臺中港務消防隊
301060300C,內政部消防署高雄港務消防隊
301060400C,內政部消防署花蓮港務消防隊
301070000G,內政部建築研究所
301100000A,內政部兒童局
301110000A,內政部役政署
301130000A,內政部空中勤務總隊
301140000A,內政部入出國及移民署
301210000T,中央警察大學
301310000J,內政部北區老人之家
301320000J,內政部中區老人之家
301330000J,內政部南區老人之家
301340000J,內政部東區老人之家
301350000J,內政部澎湖老人之家
301410000J,內政部北區兒童之家
301420000J,內政部中區兒童之家
301430000J,內政部南區兒童之家
301510000J,內政部南投啟智教養院
301520000J,內政部雲林教養院
301530000J,內政部臺南教養院
301610000J,內政部少年之家
301620000J,內政部彰化老人養護中心
301630000J,內政部社會福利工作人員研習中心
305040000C,國防部電訊發展室
305050000C,國防部軍事情報局
305101000C,國防部軍備局中山科學研究院
305120100C,國防部主計局財務中心
305120200C,國防部主計局帳務中心
305120300C,國防部主計局同袍儲蓄會
305420000C,國防部空軍總司令部
305430000C,國防部聯合後勤司令部
305440100C,國防部後備司令部北部地區後備司令部
305440200C,國防部後備司令部中部地區後備司令部
305440300C,國防部後備司令部南部地區後備司令部
305570000C,金門防衛司令部
305620000S,陸軍步兵學校
305630000S,陸軍砲兵飛彈學校
305640000S,陸軍工兵學校
305660000S,陸軍裝甲兵學校
305680000S,陸軍化學兵學校
305770000S,海軍陸戰隊學校
305820000S,政治作戰學校
305850100P,三軍總醫院
305870000S,軍事情報學校
305880000S,憲兵學校
305940000S,海軍技術學校
306010100P,國軍桃園總醫院
306010200P,國軍馬祖醫院
306610000S,陸軍通信電子資訊學校
307030000D,財政部稅制委員會
307060101D,財政部國有財產局臺灣北區辦事處花蓮分處
307060102D,財政部國有財產局臺灣北區辦事處基隆分處
307060103D,財政部國有財產局臺灣北區辦事處臺東分處
307060104D,財政部國有財產局臺灣北區辦事處宜蘭分處
307060105D,財政部國有財產局臺灣北區辦事處桃園分處
307060106D,財政部國有財產局臺灣北區辦事處金馬分處
307060201D,財政部國有財產局臺灣中區辦事處新竹分處
307060202D,財政部國有財產局臺灣中區辦事處南投分處
307060203D,財政部國有財產局臺灣中區辦事處彰化分處
307060204D,財政部國有財產局臺灣中區辦事處雲林分處
307060301D,財政部國有財產局臺灣南區辦事處嘉義分處
307060302D,財政部國有財產局臺灣南區辦事處臺南分處
307110000D,財政部臺北區支付處
307510301D,財政部臺中關稅局加工出口區支局
307510302D,財政部臺中關稅局麥寮支局
307510401D,財政部高雄關稅局前鎮分局
307510402D,財政部高雄關稅局中興分局
307510403D,財政部高雄關稅局高雄機場分局
307510404D,財政部高雄關稅局加工出口區分局
307722600K,臺灣省菸酒公賣局嘉義菸葉廠
309010000E,國立編譯館
309050000E,國立教育資料館
309070000E,國立中國醫藥研究所
309170000E,國立中正文化中心
309820000R,國立臺中護理專科學校
310240000E,駐巴拉圭共和國大使館文化參事處
310390100Q,國立高雄應用科技大學附設進修學院
310430000E,駐奧地利代表處文化組
310530000E,駐芝加哥辦事處文化組
310640000E,駐德國代表處文化組
310670000E,駐歐盟兼駐比利時代表處文化組
310710100E,國立教育廣播電臺彰化分臺
310710200E,國立教育廣播電臺高雄分臺
310710300E,國立教育廣播電臺花蓮分臺
310710400E,國立教育廣播電臺臺東分臺
311020000F,法務部司法官訓練所
313000000G,經濟部
313010000G,經濟部國際貿易局
313010100G,經濟部國際貿易局高雄辦事處
313020000G,經濟部工業局
313050000G,經濟部中小企業處
313060000G,經濟部中央地質調查所
313070000G,經濟部加工出口區管理處
313070100G,經濟部加工出口區管理處臺中分處
313070200G,經濟部加工出口區管理處高雄分處
313070300G,經濟部加工出口區管理處中港分處
313070400G,經濟部加工出口區管理處屏東分處
313090000G,經濟部投資審議委員會
313110000K,經濟部國營事業委員會
313130000G,經濟部貿易調查委員會
313150000G,經濟部標準檢驗局
313150100G,經濟部標準檢驗局基隆分局
313150200G,經濟部標準檢驗局新竹分局
313150300G,經濟部標準檢驗局臺中分局
313150400G,經濟部標準檢驗局臺南分局
313150500G,經濟部標準檢驗局高雄分局
313150600G,經濟部標準檢驗局花蓮分局
313160000G,經濟部智慧財產局
313190000L,經濟部礦務局
313200000G,經濟部水利署
313200100G,經濟部水利署北區水資源局
313200200G,經濟部水利署中區水資源局
313200300G,經濟部水利署南區水資源局
313200400G,經濟部水利署水利規劃試驗所
313200500G,經濟部水利署臺北水源特定區管理局
313201100G,經濟部水利署第一河川局
313201200G,經濟部水利署第二河川局
313201300G,經濟部水利署第三河川局
313201400G,經濟部水利署第四河川局
313201500G,經濟部水利署第五河川局
313201600G,經濟部水利署第六河川局
313201700G,經濟部水利署第七河川局
313201800G,經濟部水利署第八河川局
313201900G,經濟部水利署第九河川局
313202000G,經濟部水利署第十河川局
313210000G,經濟部能源局
313318700K,台灣電力股份有限公司龍門核能發電廠
313322700K,台灣電力股份有限公司綜合施工處
313322900K,台灣電力股份有限公司青山施工處
313324900K,台灣電力股份有限公司萬松施工處
313500090O,台灣中油股份有限公司人事處訓練所
313520000K,台灣自來水股份有限公司
313520100K,台灣自來水股份有限公司第一區管理處
313520200K,台灣自來水股份有限公司第二區管理處
313520300K,台灣自來水股份有限公司第三區管理處
313520400K,台灣自來水股份有限公司第四區管理處
313520500K,台灣自來水股份有限公司第五區管理處
313520600K,台灣自來水股份有限公司第六區管理處
313520700K,台灣自來水股份有限公司第七區管理處
313520800K,台灣自來水股份有限公司第八區管理處
313520900K,台灣自來水股份有限公司第九區管理處
313521000K,台灣自來水股份有限公司第十區管理處
313521100K,台灣自來水股份有限公司第十一區管理處
313521200K,台灣自來水股份有限公司第十二區管理處
313522100K,台灣自來水股份有限公司北區工程處
313522200K,台灣自來水股份有限公司中區工程處
313522300K,台灣自來水股份有限公司南區工程處
313523200K,台灣自來水股份有限公司南區水表修理場
313525100K,台灣自來水股份有限公司員工訓練所
313600000K,經濟部專業人員研究中心
315000000H,交通部
315050000M,交通部臺灣區國道高速公路局
315050100M,交通部臺灣區國道高速公路局北區工程處
315050200M,交通部臺灣區國道高速公路局中區工程處
315050300M,交通部臺灣區國道高速公路局南區工程處
315050600M,交通部臺灣區國道高速公路局拓建工程處
315052000M,交通部臺灣區國道高速公路局汐止收費站
315052100M,交通部臺灣區國道高速公路局泰山收費站
315052200M,交通部臺灣區國道高速公路局楊梅收費站
315052300M,交通部臺灣區國道高速公路局造橋收費站
315052400M,交通部臺灣區國道高速公路局后里收費站
315052500M,交通部臺灣區國道高速公路局員林收費站
315052600M,交通部臺灣區國道高速公路局斗南收費站
315052700M,交通部臺灣區國道高速公路局新營收費站
315052800M,交通部臺灣區國道高速公路局新市收費站
315052900M,交通部臺灣區國道高速公路局岡山收費站
315053000M,交通部臺灣區國道高速公路局樹林收費站
315053100M,交通部臺灣區國道高速公路局龍潭收費站
315053200M,交通部臺灣區國道高速公路局七堵收費站
315053300M,交通部臺灣區國道高速公路局田寮收費站
315053400M,交通部臺灣區國道高速公路局後龍收費站
